artist	song	highestRank	year	nonPerson	name
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Harriet
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Jess
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Keisha
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Randy
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Sandy
Metro Boomin Featuring 21 Savage	10 Freaky Girls	42	2018	NA	Tiffany
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Ike
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Ike
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Madison
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Madison
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Madison
Trippie Redd Featuring Juice WRLD	1400 / 999 Freestyle	55	2018	NA	Madison
21 Savage	1.5	86	2019	car	Bentley
21 Savage	1.5	86	2019	NA	Ella
21 Savage	1.5	86	2019	NA	Jerry
Meek Mill	1942 Flows	83	2017	car	Bentley
Meek Mill	1942 Flows	83	2017	NA	Billy
Meek Mill	1942 Flows	83	2017	NA	Daniel
Meek Mill	1942 Flows	83	2017	NA	Jazmine
Meek Mill	1942 Flows	83	2017	NA	Jesus
Meek Mill	1942 Flows	83	2017	NA	Nicki
Meek Mill	1942 Flows	83	2017	NA	Ross
Meek Mill	1942 Flows	83	2017	NA	Wendy
G-Eazy Featuring Yo Gotti & YBN Nahmir	1942	70	2018	NA	Baby
G-Eazy Featuring Yo Gotti & YBN Nahmir	1942	70	2018	brand	Christian
Gunna Featuring Young Thug	3 Headed Snake	74	2019	NA	Ross
Gunna Featuring Young Thug	3 Headed Snake	74	2019	car	Royce
Future	31 Days	65	2018	city	London
Zedd & Katy Perry	365	86	2019	NA	Baby
2 Chainz Featuring Travis Scott	00:00.0	NA	NA	NA	Carter
Future	4 Da Gang	92	2017	NA	Jerry
Future	4 Da Gang	92	2017	NA	Seth
Logic	44 More	65	2018	NA	David
Logic	44 More	65	2018	NA	David
Logic	44 More	65	2018	NA	Elijah
Logic	44 More	65	2018	NA	Harry
Logic	44 More	65	2018	NA	Katy
Logic	44 More	65	2018	NA	Kevin
Logic	44 More	65	2018	NA	Perry
JAY-Z	44:00.0	NA	NA	city	Paris
Lil Uzi Vert	444+222	100	2017	NA	Jay
Lil Uzi Vert	444+222	100	2017	NA	Jay
Lil Uzi Vert	444+222	100	2017	NA	Jay
Lil Uzi Vert	444+222	100	2017	NA	Jay
Lil Uzi Vert	444+222	100	2017	NA	Jay
Lil Uzi Vert	444+222	100	2017	NA	Jay
Travis Scott	5% Tint	36	2018	NA	Kevin
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Lil Yachty Featuring Trippie Redd	66	73	2018	car	Bentley
Ariana Grande	7 Rings	1	2019	NA	Tiffany
Drake	8 Out Of 10	21	2018	NA	Max
Drake	8 Out Of 10	21	2018	NA	Will
Post Malone	92 Explorer	40	2018	car	Bentley
Post Malone	92 Explorer	40	2018	NA	London
Post Malone	92 Explorer	40	2018	NA	London
Post Malone	92 Explorer	40	2018	NA	Roseanne
French Montana Featuring The Weeknd & Max B	A Lie	75	2017	NA	Karl
French Montana Featuring The Weeknd & Max B	A Lie	75	2017	NA	Max
French Montana Featuring The Weeknd & Max B	A Lie	75	2017	NA	Montana
French Montana Featuring The Weeknd & Max B	A Lie	75	2017	NA	Montana
21 Savage	A Lot	12	2019	NA	Cole
21 Savage	A Lot	12	2019	NA	Dennis
City Girls	Act Up	43	2019	NA	Ford
City Girls	Act Up	43	2019	NA	Tom
Drake Featuring Static Major & Ty Dolla $ign	After Dark	41	2018	NA	Al
Drake Featuring Static Major & Ty Dolla $ign	After Dark	41	2018	NA	Jill
Drake Featuring Static Major & Ty Dolla $ign	After Dark	41	2018	NA	Luther
Drake Featuring Static Major & Ty Dolla $ign	After Dark	41	2018	NA	Scott
J. Cole	Album Of The Year (Freestyle)	87	2018	NA	Billy
J. Cole	Album Of The Year (Freestyle)	87	2018	NA	Billy
J. Cole	Album Of The Year (Freestyle)	87	2018	city	Dallas
J. Cole	Album Of The Year (Freestyle)	87	2018	NA	Mark
Future & Young Thug	All Da Smoke	77	2017	NA	Barry
Future & Young Thug	All Da Smoke	77	2017	car	Bentley
Future & Young Thug	All Da Smoke	77	2017	brand	Chanel
Juice WRLD	All Girls Are The Same	41	2018	city	Carlo
Juice WRLD	All Girls Are The Same	41	2018	NA	John
Juice WRLD	All Girls Are The Same	41	2018	city	Monte
Kanye West	All Mine	11	2018	religion	Christian
Kanye West	All Mine	11	2018	NA	Corey
Kanye West	All Mine	11	2018	NA	Kerry
Kanye West	All Mine	11	2018	NA	Kobe
Kanye West	All Mine	11	2018	NA	Naomi
Kanye West	All Mine	11	2018	NA	Stormy
Kanye West	All Mine	11	2018	NA	Tristan
21 Savage	All My Friends	67	2019	car	Bentley
21 Savage	All My Friends	67	2019	car	Bentley
21 Savage	All My Friends	67	2019	car	Bentley
21 Savage	All My Friends	67	2019	car	Bentley
21 Savage	All My Friends	67	2019	car	Bentley
Devin Dawson	All On Me	52	2017	NA	Baby
Devin Dawson	All On Me	52	2017	NA	Baby
Devin Dawson	All On Me	52	2017	NA	Baby
Devin Dawson	All On Me	52	2017	NA	Baby
Billie Eilish	All The Good Girls Go To Hell	46	2019	NA	Peter
Billie Eilish	All The Good Girls Go To Hell	46	2019	NA	Peter
Halsey Featuring Big Sean & Stefflon Don	Alone	100	2018	NA	Baby
Halsey Featuring Big Sean & Stefflon Don	Alone	100	2018	NA	Baby
Halsey Featuring Big Sean & Stefflon Don	Alone	100	2018	NA	Baby
Halsey Featuring Big Sean & Stefflon Don	Alone	100	2018	state	Cali
Halsey Featuring Big Sean & Stefflon Don	Alone	100	2018	city	Paris
Lady Gaga	Always Remember Us This Way	100	2018	NA	Baby
Lady Gaga	Always Remember Us This Way	100	2018	NA	Baby
Lady Gaga	Always Remember Us This Way	100	2018	NA	Baby
Young Thug Featuring Nicki Minaj	Anybody	89	2018	brand	Chanel
XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee	Arms Around You	28	2018	brand	Chanel
XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee	Arms Around You	28	2018	car	Mercedes
21 Savage	ASMR	95	2019	NA	Becky
21 Savage	ASMR	95	2019	brand	Chanel
21 Savage	ASMR	95	2019	NA	Richard
Future & Juice WRLD	Astronauts	82	2018	NA	Al
Future & Juice WRLD	Astronauts	82	2018	brand	Chanel
Future & Juice WRLD	Astronauts	82	2018	NA	Emilio
Future & Juice WRLD	Astronauts	82	2018	brand	Louis
Future & Juice WRLD	Astronauts	82	2018	NA	Richard
Future & Juice WRLD	Astronauts	82	2018	NA	Riley
Future & Juice WRLD	Astronauts	82	2018	NA	Susie
J. Cole	ATM	42	2018	NA	Cole
J. Cole	ATM	42	2018	NA	Martin
J. Cole	ATM	42	2018	NA	Tommy
Migos	Auto Pilot	85	2018	NA	Barry
Migos	Auto Pilot	85	2018	NA	Mary
Migos	Auto Pilot	85	2018	NA	Nick
Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals	Back To You	40	2017	NA	Baby
Halsey	Bad At Love	5	2017	city	London
Selena Gomez	Bad Liar	20	2017	city	Troy
Post Malone Featuring Nicki Minaj	Ball For Me	16	2018	NA	Baby
Post Malone Featuring Nicki Minaj	Ball For Me	16	2018	NA	James
JAY-Z Featuring Damian \Jr. Gong\ Marely	Bam	47	2017	NA	Bobby
JAY-Z Featuring Damian \Jr. Gong\ Marely	Bam	47	2017	NA	Emory
JAY-Z Featuring Damian \Jr. Gong\ Marely	Bam	47	2017	NA	Shawn
JAY-Z Featuring Damian \Jr. Gong\ Marely	Bam	47	2017	NA	Shawn
JAY-Z Featuring Damian \Jr. Gong\ Marely	Bam	47	2017	NA	Shawn
JAY-Z Featuring Damian \Jr. Gong\ Marely	Bam	47	2017	NA	Shawn
JAY-Z Featuring Damian \Jr. Gong\ Marely	Bam	47	2017	NA	Shawn
JAY-Z Featuring Damian \Jr. Gong\ Marely	Bam	47	2017	NA	Ty
JAY-Z Featuring Damian \Jr. Gong\ Marely	Bam	47	2017	NA	Ty
21 Savage	Bank Account	12	2017	car	Bentley
21 Savage	Bank Account	12	2017	motorcycle	Harley
21 Savage	Bank Account	12	2017	store	Marcus
21 Savage	Bank Account	12	2017	NA	Max
21 Savage	Bank Account	12	2017	NA	Reggie
Nicki Minaj	Barbie Dreams	18	2018	NA	Dave
Nicki Minaj	Barbie Dreams	18	2018	NA	Ed
Nicki Minaj	Barbie Dreams	18	2018	NA	Kim
Nicki Minaj	Barbie Dreams	18	2018	NA	Mike
Nicki Minaj	Barbie Dreams	18	2018	NA	Odell
Nicki Minaj	Barbie Dreams	18	2018	NA	Rick
Nicki Minaj	Barbie Dreams	18	2018	NA	Ruben
Nicki Minaj	Barbie Dreams	18	2018	NA	Scottie
Nicki Minaj	Barbie Dreams	18	2018	NA	Stefan
Nicki Minaj	Barbie Dreams	18	2018	NA	Tyson
Nicki Minaj	Barbie Tingz	25	2018	NA	Drake
Nicki Minaj	Barbie Tingz	25	2018	NA	Guy
Nicki Minaj	Barbie Tingz	25	2018	NA	Guy
Nicki Minaj	Barbie Tingz	25	2018	NA	Jay
Nicki Minaj	Barbie Tingz	25	2018	NA	Nicki
Nicki Minaj	Barbie Tingz	25	2018	NA	Nicki
Nicki Minaj	Barbie Tingz	25	2018	NA	Wayne
Cardi B Featuring 21 Savage	Bartier Cardi	14	2018	car	Bentley
Cardi B Featuring 21 Savage	Bartier Cardi	14	2018	car	Bentley
Cardi B Featuring 21 Savage	Bartier Cardi	14	2018	car	Bentley
Cardi B Featuring 21 Savage	Bartier Cardi	14	2018	car	Bentley
Cardi B Featuring 21 Savage	Bartier Cardi	14	2018	car	Bentley
Cardi B Featuring 21 Savage	Bartier Cardi	14	2018	drug	Molly
Cardi B Featuring 21 Savage	Bartier Cardi	14	2018	drug	Molly
Cardi B Featuring 21 Savage	Bartier Cardi	14	2018	drug	Molly
Cardi B Featuring 21 Savage	Bartier Cardi	14	2018	drug	Molly
Migos Featuring 21 Savage	BBO (Bad Bitches Only)	48	2018	city	Houston
Migos Featuring 21 Savage	BBO (Bad Bitches Only)	48	2018	NA	Quincy
Migos Featuring 21 Savage	BBO (Bad Bitches Only)	48	2018	NA	Reggie
Cardi B	Be Careful	11	2018	NA	Keisha
Cardi B	Be Careful	11	2018	NA	Tommy
Lil Pump Featuring Lil Wayne	Be Like Me	72	2019	NA	Billie Jean
Lil Pump Featuring Lil Wayne	Be Like Me	72	2019	NA	Dwayne
Lil Pump Featuring Lil Wayne	Be Like Me	72	2019	NA	Kim
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again	Beast Mode	86	2017	car	Bentley
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again	Beast Mode	86	2017	brand	Louis
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again	Beast Mode	86	2017	NA	Mike
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again	Beast Mode	86	2017	NA	Mike
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again	Beast Mode	86	2017	NA	Mike
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again	Beast Mode	86	2017	NA	Mike
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again	Beast Mode	86	2017	country - Puerto Rico	Rico
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again	Beast Mode	86	2017	country - Puerto Rico	Rico
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again	Beast Mode	86	2017	country - Puerto Rico	Rico
A Boogie Wit da Hoodie Featuring PnB Rock & YoungBoy Never Broke Again	Beast Mode	86	2017	country - Puerto Rico	Rico
Bazzi Featuring Camila Cabello	Beautiful	26	2018	NA	Baby
6ix9ine Featuring Anuel AA	BEBE	30	2018	NA	Baby
6ix9ine Featuring Anuel AA	BEBE	30	2018	NA	Baby
6ix9ine Featuring Anuel AA	BEBE	30	2018	NA	Baby
6ix9ine Featuring Anuel AA	BEBE	30	2018	NA	Baby
6ix9ine Featuring Anuel AA	BEBE	30	2018	NA	Baby
6ix9ine Featuring Anuel AA	BEBE	30	2018	NA	Baby
6ix9ine Featuring Anuel AA	BEBE	30	2018	NA	Baby
6ix9ine Featuring Anuel AA	BEBE	30	2018	NA	Baby
6ix9ine Featuring Anuel AA	BEBE	30	2018	NA	Baby
6ix9ine Featuring Anuel AA	BEBE	30	2018	pronoun	Ella
6ix9ine Featuring Anuel AA	BEBE	30	2018	pronoun	Ella
Jacquees	B.E.D.	69	2017	NA	Billie Jean
Jacquees	B.E.D.	69	2017	NA	Michael
Nicki Minaj Featuring Ariana Grande	Bed	42	2018	NA	Carter
Liam Payne	Bedroom Floor	98	2017	NA	Baby
Liam Payne	Bedroom Floor	98	2017	NA	Baby
Eminem	Believe	92	2018	country	America
Eminem	Believe	92	2018	NA	Bruce
Romeo Santos Featuring Nicky Jam & Daddy Yankee	Bella y Sensual	95	2017	NA	Nicky
Romeo Santos Featuring Nicky Jam & Daddy Yankee	Bella y Sensual	95	2017	NA	Nicky
Romeo Santos Featuring Nicky Jam & Daddy Yankee	Bella y Sensual	95	2017	NA	Nicky
Romeo Santos Featuring Nicky Jam & Daddy Yankee	Bella y Sensual	95	2017	NA	Nicky
Romeo Santos Featuring Nicky Jam & Daddy Yankee	Bella y Sensual	95	2017	NA	Romeo
Romeo Santos Featuring Nicky Jam & Daddy Yankee	Bella y Sensual	95	2017	NA	Romeo
Lil Baby & Gunna	Belly	80	2018	NA	Jordan
Lil Baby & Gunna	Belly	80	2018	NA	Keisha
Cardi B Featuring Chance The Rapper	Best Life	100	2018	NA	Andre
Cardi B Featuring Chance The Rapper	Best Life	100	2018	NA	Dante
Cardi B Featuring Chance The Rapper	Best Life	100	2018	NA	Jamie
Cardi B Featuring Chance The Rapper	Best Life	100	2018	NA	Jerry
Cardi B Featuring Chance The Rapper	Best Life	100	2018	NA	Tom
Post Malone	Better Now	10	2018	NA	Jonas
Post Malone	Better Now	10	2018	NA	Jonas
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"	Big Bank	16	2018	car	Bentley
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"	Big Bank	16	2018	brand	Chanel
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj"	Big Bank	16	2018	NA	Colin
Kendrick Lamar & Travis Scott	Big Shot	71	2018	NA	Kenny
Kendrick Lamar & Travis Scott	Big Shot	71	2018	NA	Moses
Kendrick Lamar & Travis Scott	Big Shot	71	2018	NA	Steve
Quavo	Biggest Alley Oop	86	2018	NA	Bill
Quavo	Biggest Alley Oop	86	2018	NA	Billy
Quavo	Biggest Alley Oop	86	2018	NA	Jay
Quavo	Biggest Alley Oop	86	2018	NA	Shaquille
Nicki Minaj X Mike WiLL Made-It	Black Barbies	97	2017	religion	Christian
Nicki Minaj X Mike WiLL Made-It	Black Barbies	97	2017	NA	Donald
Nicki Minaj X Mike WiLL Made-It	Black Barbies	97	2017	NA	Joan
Nicki Minaj X Mike WiLL Made-It	Black Barbies	97	2017	NA	Mike
Nicki Minaj X Mike WiLL Made-It	Black Barbies	97	2017	NA	Peter
Nicki Minaj X Mike WiLL Made-It	Black Barbies	97	2017	NA	Will
Kendrick Lamar	Black Panther	91	2018	NA	Kendrick
Kendrick Lamar	Black Panther	91	2018	NA	King
Kendrick Lamar	Black Panther	91	2018	NA	King
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	religion	Christian
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	NA	Felicia
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	NA	Jesus
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	NA	Jesus
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	NA	Jesus
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	NA	Jesus
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	NA	Jesus
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	NA	Jesus
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	NA	Jesus
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	NA	Keisha
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	NA	Mona Lisa
Logic Featuring Damian Lemar Hudson	Black SpiderMan	87	2017	NA	Martin
Drake	Blem	38	2017	NA	Virginia
Drake	Blue Tint	30	2018	NA	Mario
Cardi B	Bodak Yellow (Money Moves)	1	2017	NA	Mona
Katy Perry Featuring Migos	Bon Appetit	59	2017	NA	Katy
Katy Perry Featuring Migos	Bon Appetit	59	2017	NA	Kobe
Blac Youngsta	Booty	73	2018	NA	Mike
Blac Youngsta	Booty	73	2018	NA	Mike
Blac Youngsta	Booty	73	2018	NA	Mike
Blac Youngsta	Booty	73	2018	NA	Tyson
Blac Youngsta	Booty	73	2018	NA	Tyson
Blac Youngsta	Booty	73	2018	NA	Tyson
J. Cole	Brackets	30	2018	NA	Jerome
J. Cole	Brackets	30	2018	NA	Sam
21 Savage	Break Da Law	70	2019	NA	Daisy
21 Savage	Break Da Law	70	2019	NA	Keisha
Chris Stapleton	Broken Halos	45	2017	NA	Jesus
lovelytheband	Broken	29	2018	city	Brooklyn
Dierks Bentley Featuring Brothers Osborne	Burning Man	100	2018	plant	Joshua
Lil Baby & Gunna	Business Is Business	61	2018	NA	Marlo
Lil Baby & Gunna	Business Is Business	61	2018	car	Mercedes
Lil Baby & Gunna	Business Is Business	61	2018	car	Mercedes
Lil Baby & Gunna	Business Is Business	61	2018	car	Mercedes
Travis Scott	Butterfly Effect	50	2017	NA	Santana
Future	Call The Coroner	100	2019	NA	Curtis
Future	Call The Coroner	100	2019	NA	Goldie
Post Malone	Candy Paint	34	2017	NA	Michael
Post Malone	Candy Paint	34	2017	NA	Tony
Post Malone	Candy Paint	34	2017	NA	Tony
Lil Wayne	Can't Be Broken	17	2018	NA	Ricky
Drake	Can't Have Everything	82	2017	country	America
Drake	Can't Have Everything	82	2017	NA	Drake
Drake	Can't Have Everything	82	2017	NA	Russ
21 Savage	Can't Leave Without It	58	2019	NA	Baby
Amine	Caroline	11	2017	NA	Baby
Amine	Caroline	11	2017	NA	Baby
Amine	Caroline	11	2017	NA	Baby
Amine	Caroline	11	2017	NA	Baby
Amine	Caroline	11	2017	NA	Caroline
Amine	Caroline	11	2017	NA	Caroline
Amine	Caroline	11	2017	NA	Caroline
Amine	Caroline	11	2017	NA	Caroline
Amine	Caroline	11	2017	NA	Caroline
Amine	Caroline	11	2017	NA	Caroline
Amine	Caroline	11	2017	NA	Meagan
JAY-Z Featuring Frank Ocean	Caught Their Eyes	63	2017	NA	Lisa
JAY-Z Featuring Frank Ocean	Caught Their Eyes	63	2017	NA	Lisa
JAY-Z Featuring Frank Ocean	Caught Their Eyes	63	2017	city	Paris
JAY-Z Featuring Frank Ocean	Caught Their Eyes	63	2017	NA	Prince
Migos Featuring Gucci Mane	CC	96	2018	brand	Chanel
Migos Featuring Gucci Mane	CC	96	2018	brand	Chanel
Migos Featuring Gucci Mane	CC	96	2018	brand	Chanel
Migos Featuring Gucci Mane	CC	96	2018	brand	Chanel
Migos Featuring Gucci Mane	CC	96	2018	brand	Chanel
Migos Featuring Gucci Mane	CC	96	2018	brand	Chanel
Migos Featuring Gucci Mane	CC	96	2018	gem	Emerald
Migos Featuring Gucci Mane	CC	96	2018	NA	Jane
Meek Mill	Championships	70	2018	brand	Christian
Meek Mill	Championships	70	2018	brand	Max
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	car	Bentley
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	car	Bentley
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	car	Bentley
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	car	Bentley
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	brand	Chanel
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	brand	Chanel
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	brand	Chanel
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	brand	Chanel
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	brand	Chanel
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	brand	Chanel
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	brand	Louis
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	brand	Louis
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	brand	Louis
Young Thug Featuring Gunna & Lil Baby	Chanel (Go Get It)	78	2018	NA	Marc
Frank Ocean	Chanel	72	2017	brand	Chanel
Frank Ocean	Chanel	72	2017	brand	Chanel
Frank Ocean	Chanel	72	2017	brand	Chanel
Frank Ocean	Chanel	72	2017	brand	Chanel
Frank Ocean	Chanel	72	2017	brand	Chanel
Frank Ocean	Chanel	72	2017	brand	Chanel
Frank Ocean	Chanel	72	2017	NA	Mike
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	NA	Jane
Kevin Gates	Change Lanes	68	2018	car	Royce
Darlene Love	Christmas (Baby Please Come Home)	43	2018	NA	Baby
Darlene Love	Christmas (Baby Please Come Home)	43	2018	NA	Baby
Darlene Love	Christmas (Baby Please Come Home)	43	2018	NA	Baby
Darlene Love	Christmas (Baby Please Come Home)	43	2018	NA	Baby
Darlene Love	Christmas (Baby Please Come Home)	43	2018	NA	Baby
Darlene Love	Christmas (Baby Please Come Home)	43	2018	NA	Baby
Darlene Love	Christmas (Baby Please Come Home)	43	2018	NA	Baby
Nicki Minaj	Chun-Li	10	2018	NA	Lara
Nicki Minaj	Chun-Li	10	2018	NA	Lara
Nicki Minaj	Chun-Li	10	2018	drink - Mai Tai	Mai
Nicki Minaj	Chun-Li	10	2018	NA	Nicki
Nicki Minaj	Chun-Li	10	2018	NA	Nicki
Nicki Minaj	Chun-Li	10	2018	NA	Prince
Nicki Minaj	Chun-Li	10	2018	NA	Prince
Rae Sremmurd & Travis Scott	Close	98	2018	NA	Mike
Offset Featuring Cardi B	Clout	64	2019	NA	Brandy
Offset Featuring Cardi B	Clout	64	2019	NA	Elvis
Offset Featuring Cardi B	Clout	64	2019	NA	Jason
Offset Featuring Cardi B	Clout	64	2019	NA	Kim
Offset Featuring Cardi B	Clout	64	2019	NA	Mike
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	brand	Christian
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	brand	Christian
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	brand	Christian
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	brand	Christian
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	brand	Christian
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	brand	Christian
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	brand	Christian
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	brand	Christian
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	band	Jackson
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	NA	Jimmy
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	planet	Venus
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	planet	Venus
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	planet	Venus
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	planet	Venus
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	planet	Venus
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	planet	Venus
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	planet	Venus
Kodak Black Featuring Lil Wayne	Codeine Dreaming	52	2017	planet	Venus
Logic	Confessions Of A Dangerous Mind	78	2019	NA	Cole
Logic	Confessions Of A Dangerous Mind	78	2019	NA	Kenny
Kodak Black Featuring Future	Conscience	93	2017	NA	Baby
Kodak Black Featuring Future	Conscience	93	2017	car	Bentley
Kodak Black Featuring Future	Conscience	93	2017	brand	Chanel
Kodak Black Featuring Future	Conscience	93	2017	bank	Chase
Kodak Black Featuring Future	Conscience	93	2017	NA	Chris
Kodak Black Featuring Future	Conscience	93	2017	NA	James
Kodak Black Featuring Future	Conscience	93	2017	NA	Jane
Kodak Black Featuring Future	Conscience	93	2017	NA	Johnson
Kodak Black Featuring Future	Conscience	93	2017	NA	Levi
Kodak Black Featuring Future	Conscience	93	2017	NA	Stephen
Logic	Contra	60	2018	NA	Bobby
Logic	Contra	60	2018	NA	Bobby
Logic	Contra	60	2018	NA	Bobby
Logic	Contra	60	2018	NA	Bobby
Logic	Contra	60	2018	NA	Bobby
Logic	Contra	60	2018	NA	Bobby
Logic	Contra	60	2018	NA	Bobby
Katy Perry	Cozy Little Christmas	53	2018	brand	Chanel
Katy Perry	Cozy Little Christmas	53	2018	brand	Tiffany
GoldLink Featuring Brent Faiyaz & Shy Glizzy	Crew	45	2017	NA	Ray
Natti Natasha x Ozuna	Criminal	95	2017	NA	Baby
Natti Natasha x Ozuna	Criminal	95	2017	NA	Baby
Natti Natasha x Ozuna	Criminal	95	2017	NA	Baby
Natti Natasha x Ozuna	Criminal	95	2017	NA	Baby
Lil Baby	Crush A Lot	82	2018	NA	Drake
Lil Baby	Crush A Lot	82	2018	car	Royce
Lil Baby	Crush A Lot	82	2018	car	Royce
Future	Crushed Up	43	2019	brand	Chanel
Future	Crushed Up	43	2019	NA	Jackie
Future	Crushed Up	43	2019	NA	Jane
Future	Crushed Up	43	2019	NA	Jane
Future	Crushed Up	43	2019	NA	Jason
Future	Crushed Up	43	2019	NA	Richard
Gucci Mane Featuring The Weeknd	Curve	67	2017	NA	Baby
Gucci Mane Featuring The Weeknd	Curve	67	2017	NA	Baby
Gucci Mane Featuring The Weeknd	Curve	67	2017	state	Virginia
Pitbull x El Chombo x Karol G Featuring Cutty Ranks	Dame Tu Cosita	36	2018	NA	Armando
Pitbull x El Chombo x Karol G Featuring Cutty Ranks	Dame Tu Cosita	36	2018	NA	Fernando
Pitbull x El Chombo x Karol G Featuring Cutty Ranks	Dame Tu Cosita	36	2018	NA	Karol
Pitbull x El Chombo x Karol G Featuring Cutty Ranks	Dame Tu Cosita	36	2018	NA	Romeo
Migos & Marshmello	Danger	82	2017	NA	Forrest
