n, time
0,0
10,0
20,0
30,1
40,1
50,5
60,5
70,16
80,16
90,16
100,48
110,48
120,49
130,48
140,49
150,140
160,140
170,140
180,141
190,143
200,157
210,146
220,439
230,437
240,436
250,434
260,439
270,430
280,437
290,434
300,434
310,438
320,1282
330,1281
340,1297
350,1288
360,1312
370,1284
380,1298
390,1310
400,1307
410,1309
420,1322
430,1321
440,1331
450,1321
460,1329
470,1319
480,3973
490,3969
500,4071
510,4161
520,4067
530,4200
540,4139
550,4133
560,4118
570,4075
580,4085
590,4073
600,4067
